,city,district,neighborhood,room,living_room,area,age,floor,price
6963,mugla,koycegiz,gelisim,2,1,75,5,3,12500
6964,mugla,bodrum,yenikoy,2,1,85,12,2,35000
6965,mugla,dalaman,karacali,1,1,65,2,3,8000
6966,mugla,bodrum,muskebi,3,1,120,5,0,30000
6967,mugla,milas,bogazici,3,1,120,20,2,20000
6969,mugla,fethiye,akarca,3,1,135,0,2,20000
6970,mugla,milas,bogazici,2,1,100,26,0,22500
6972,mugla,marmaris,cildir,1,1,65,25,2,25000
6973,mugla,milas,kiyikislacik,1,1,45,2,1,38000
6974,mugla,bodrum,akcaalan,2,1,80,10,2,20000
6976,mugla,bodrum,gundogan,1,1,50,3,0,60000
6978,mugla,bodrum,gundogan,3,1,200,11,-2,60000
6979,mugla,marmaris,turgut,2,1,65,11,2,20000
6982,mugla,ortaca,akinci,2,1,95,15,2,12000
6983,mugla,fethiye,foca,4,1,180,0,0,35000
6985,mugla,milas,gulluk,3,1,95,11,0,17000
6986,mugla,ula,koprubasi,2,1,80,4,2,11000
6987,mugla,bodrum,geris,3,1,120,12,1,37000
6989,mugla,bodrum,torba,3,1,160,26,0,50000
6990,mugla,milas,oren,3,1,120,11,2,22000
6991,mugla,bodrum,gundogan,2,1,110,10,5,25000
6993,mugla,marmaris,armutalan,2,1,150,26,2,48000
6995,mugla,milas,gulluk,2,1,76,6,2,25000
6998,mugla,fethiye,camkoy,1,1,70,15,2,8000
6999,mugla,milas,oren,2,1,115,0,2,16000
7001,mugla,dalaman,karginkuru,2,1,150,5,0,25000
7002,mugla,dalaman,altintas,1,1,65,1,1,9500
7003,mugla,bodrum,eskicesme,2,1,80,5,0,50000
7004,mugla,datca,emecik,1,1,55,10,0,30000
7005,mugla,milas,gulluk,2,1,90,9,5,35000
7008,mugla,bodrum,golkoy,3,1,160,5,2,50000
7009,mugla,dalaman,altintas,1,1,60,0,2,11000
7010,mugla,dalaman,sogutluyurt,3,1,140,26,0,15500
7011,mugla,fethiye,oludeniz,1,1,55,4,2,12000
7012,mugla,mentese,orhaniye,2,1,140,40,-1,18500
